"","bowler_name","Role","Amount","Team","Year","Player Origin","bowler_type","bowler_category","matches","balls_bowled","overs_bowled","runs_conceded","wickets","economy","bowling_sr"
"142","Bhanuka Rajapaksa","Batsman",5e+06,"Punjab Kings",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Bhuvneshwar Kumar","Bowler",42500000,"Sunrisers Hyderabad",2014,"Overseas","RFM","Pacer",75,1661,"276.5",1948,86,"7.04","19.31"
"144","Bhuvneshwar Kumar","Bowler",4.2e+07,"Sunrisers Hyderabad",2022,"Indian","RFM","Pacer",75,1661,"276.5",1948,86,"7.04","19.31"
"145","Billy Stanlake","Bowler",3e+06,"Royal Challengers Bangalore",2017,"Overseas","RFM","Pacer",5,104,"17.2",127,5,"7.33","20.80"
"146","Billy Stanlake","Batsman",5e+06,"Sunrisers Hyderabad",2018,"Overseas","RFM","Pacer",5,104,"17.2",127,5,"7.33","20.80"
"147","Bipul Sharma","All-Rounder",2e+06,"Sunrisers Hyderabad",2018,"Indian","SLA","Spinner",10,150,"25.0",192,7,"7.68","21.43"
"148","Brad Hodge","Batsman",2.4e+07,"Rajasthan Royals",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Brad Hogg","Bowler",5e+06,"Kolkata Knight Riders",2015,"Overseas","LAW","Spinner",44,944,"157.2",1077,44,"6.85","21.45"
"150","Brendan Taylor","Wicket Keeper",3e+06,"Sunrisers Hyderabad",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Brendon McCullum","Wicket Keeper",32500000,"Chennai Super Kings",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Brendon McCullum","Batsman",3.6e+07,"Royal Challengers Bangalore",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","C Hari Nishaanth","Batsman",2e+06,"Chennai Super Kings",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","C.Hari Nishaanth","Batsman",2e+06,"Chennai Super Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","C.M. Gautam","Wicket Keeper",2e+06,"Mumbai Indians",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","C.M. Gautam","Wicket Keeper",2e+06,"Delhi Daredevils",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Cameron Delport","All-Rounder",3e+06,"Kolkata Knight Riders",2018,"Overseas","RFM","Pacer",5,53,"8.5",81,4,"9.17","13.25"
"158","Carlos Brathwaite","All-Rounder",4.2e+07,"Delhi Daredevils",2016,"Overseas","RFM","Pacer",19,334,"55.4",494,12,"8.87","27.83"
"159","Carlos Brathwaite","All-Rounder",2e+07,"Sunrisers Hyderabad",2018,"Overseas","RFM","Pacer",19,334,"55.4",494,12,"8.87","27.83"
"160","Carlos Brathwaite","All-Rounder",5e+07,"Kolkata Knight Riders",2019,"Overseas","RFM","Pacer",19,334,"55.4",494,12,"8.87","27.83"
"161","Chaitanya Bishnoi","All-Rounder",2e+06,"Chennai Super Kings",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Chama Milind","Bowler",1e+06,"Sunrisers Hyderabad",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Chama Milind","Bowler",1e+06,"Delhi Daredevils",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Chama Milind","Bowler",2500000,"Royal Challengers Bangalore",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Chamika Karunaratne","All-Rounder",5e+06,"Kolkata Knight Riders",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Chetan Sakariya","Bowler",1.2e+07,"Rajasthan Royals",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Chetan Sakariya","Bowler",4.2e+07,"Delhi Capitals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Cheteshwar Pujara","Batsman",1.9e+07,"Kings XI Punjab",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Cheteshwar Pujara","Batsman",5e+06,"Chennai Super Kings",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Chirag Suri","Batsman",1e+06,"Gujarat Lions",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Chris Green","All-Rounder",2e+06,"Kolkata Knight Riders",2020,"Overseas","OS","Spinner",11,192,"32.0",228,10,"7.12","19.20"
"172","Chris Jordan","All-Rounder",5e+06,"Sunrisers Hyderabad",2017,"Overseas","RFM","Pacer",44,890,"148.2",1284,53,"8.66","16.79"
"173","Chris Jordan","All-Rounder",1e+07,"Sunrisers Hyderabad",2018,"Overseas","RFM","Pacer",44,890,"148.2",1284,53,"8.66","16.79"
"174","Chris Jordan","All-Rounder",3e+07,"Kings XI Punjab",2020,"Overseas","RFM","Pacer",44,890,"148.2",1284,53,"8.66","16.79"
"175","Chris Jordan","All-Rounder",3.6e+07,"Chennai Super Kings",2022,"Overseas","RFM","Pacer",44,890,"148.2",1284,53,"8.66","16.79"
"176","Chris Lynn","Batsman",1.3e+07,"Kolkata Knight Riders",2014,"Overseas",NA,NA,2,30,"5.0",38,3,"7.60","10.00"
"177","Chris Lynn","Batsman",9.6e+07,"Kolkata Knight Riders",2018,"Overseas",NA,NA,2,30,"5.0",38,3,"7.60","10.00"
"178","Chris Lynn","Batsman",2e+07,"Mumbai Indians",2020,"Overseas",NA,NA,2,30,"5.0",38,3,"7.60","10.00"
"179","Chris Woakes","All-Rounder",4.2e+07,"Kolkata Knight Riders",2017,"Overseas","RFM","Pacer",18,384,"64.0",533,19,"8.33","20.21"
"180","Chris Woakes","All-Rounder",7.4e+07,"Royal Challengers Bangalore",2018,"Overseas","RFM","Pacer",18,384,"64.0",533,19,"8.33","20.21"
"181","Chris Woakes","All-Rounder",1.5e+07,"Delhi Capitals",2020,"Overseas","RFM","Pacer",18,384,"64.0",533,19,"8.33","20.21"
"182","Christopher Barnwell","All-Rounder",3750000,"Royal Challengers Bangalore",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Christopher Gayle","Batsman",2e+07,"Kings XI Punjab",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Christopher Morris","All-Rounder",46875000,"Chennai Super Kings",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
